Lemmatized_Text,Predicted_Emotion
I feel your scent I enjoy the way you drink your coffee so dignified you smirk at the sight of interesting detail black ink spill word on white paper you spell they out with your lip as you scim along I love when you ask I what do you think;joy,Happy
I feel like this service be at its core relatively useless;sadness,Sad
I think I d talk today about get cold foot I m sure every bride will know that feeling when hubby to be do something that reeeeeeeeally piss we off and we start yell that we just can not do this anymore I can not marry someone like you;anger,Neutral
I feel a bit stressed because it feel like I m suppose to do something all the time and that I should be read now;anger,Neutral
I feel really lucky to be part of it;joy,Happy
I feel kind of lame this time around;sadness,Sad
I be feel impatient and take pills;anger,Neutral
I always feel this tangle in my stomach I never just feel content and wanted;joy,Happy
I feel so honoured and luckily for I I get to post cards;joy,Happy
I feel rather piss off;anger,Neutral
I feel truly delighted doing have already change in such a short period of time;joy,Happy
I feel really honor and excited to have meet her;joy,Happy
I never think I would feel more passionate about anything until I begin teaching;joy,Happy
I say no I feel guilty begin by give you the reason for and benefit of be assertive without be aggressive;sadness,Sad
I feel appropriately disturb by the project;sadness,Sad
I feel quite photographically lethargic and drain its difficult to explain but I m really happy my school semester be come to an end;sadness,Sad
I get a funny feeling he do not consider you worthless;sadness,Sad
I m so excited but at the same time I feel a little nervous;fear,Neutral
I guess I do feel the need to mention the realism of the just how tragic the hardship of everyday life in the mumbai slum really is;sadness,Sad
I feel content just because of the weather;joy,Happy
I feel like each kid leave school this year with at least three piece they be really proud of;joy,Happy
I remember feel so embarrassed the entire meeting;sadness,Sad
I couldn t know what he be feel then I think that he wish he could have be there with we too for each of we know that however much we hate it at first it be an experience we would remember forever;sadness,Neutral
I do not feel particularly delighted in;joy,Happy
I feel like a failure of a parent which add that to the emotional rollercoaster of have to have an unplanned c section and well some day I feel like I have just fail from the beginning;sadness,Sad
I be feel angry and jealous and deceived;anger,Neutral
I feel so guilty;sadness,Sad
I an asylum seeker who I don t know how they live in this country without feel assaulted;fear,Neutral
I generally use this icon when I m feel playful or childish which be a fairly large percentage of the time;joy,Happy
I m feel generous this morning I will share they with you;love,Happy
I feel strong style color black line height;joy,Happy
I be now feel much more positive about her agility future because I could actually see it be there she s due her second measure some time over the next month and I would so love she to measure into small;joy,Happy
I be feel irate and extremely uncomfortable;anger,Neutral
I can feel be horrible that for someone somewhere they ve feel that bad and worse;sadness,Sad
I didn t need to mention our difference but I be feel very vulnerable because of the difference and be have a bit of fear that in someway I be do something wrong;fear,Neutral
I m live alone while wait for my license test and english speaking test I m feel more relaxed hibernating without any fresh air;joy,Happy
I post this today partly because it s how today be and partly because I sometimes worry that my reputation for positivity might make people feel that my message be you should be happy all the time;joy,Happy
I still feel like I deserve to be punish for thing that I would instantly forgive from strangers;sadness,Sad
I be actually feel somewhat listless and unmotivate early this afternoon but then I have a cup of coffee medium strength coffee at that and now I m burst at the seams;sadness,Sad
I feel regretful that I do not bring overnight gear;sadness,Sad
I achieve be deepen my realization that I need to plan ahead to feel satisfied and avoid make silly food choices;joy,Happy
I do not feel like I miss out one bit;sadness,Sad
I feel useless I don t pay for anything I just sit on the computer and do nothing all day while wait or send out resumes;sadness,Sad
I feel most unwelcome;sadness,Sad
I feel completely submit and devote to a href http www;love,Happy
I go on to the holiday party that evening courtesy of another journalism sible whom I call my big bro feel a little unsure on why I be really attending;fear,Neutral
I feel really petty complain about panic attack and such;ang,Neutral
I wave remember how many people love you and feel our arm support you under the deep and painful sea;joy,Neutral
I feel like have that sweet carby yet low glycemic meal not just at breakfast but often for dessert;joy,Happy
I be happpy when I get good result in the field of academic or athletics;joy,Happy
I still feel this numb feeling after an hour or so;sadness,Sad
I forgive myself for accept and allow myself to feel humiliated and reject because someone be choose over me;sadness,Sad
I wish I could say this lead to I feel socially accepted;joy,Happy
I fully enjoy music when I feel afraid use headphones;fear,Neutral
I feel like I ve have to fake my feeling a lot more often then I would have like to;sadness,Sad
I be feel pretty hateful towards my refrigerator as I clean it;anger,Neutral
I would set out in a sunny temper and generally feel benevolent to all road user then every morning at approximately;joy,Happy
I be in I could feel he and I hate the draw tight feeling i had;anger,Neutral
I go to an lds step meeting and be so overwhelmed by evil feeling and just break down and say so at the meeting and express how low I feel and how ready I be for these feeling to leave my body;sadness,Sad
I feel charming today and do not really want to be a part of what I m suppose to be a part of tonight;joy,Happy
I m an academic addict I can not say that I m really feel eager about it right now;joy,Happy
I start feel festive very soon right back in november and I suppose it be inevitable that I run out of steam before the day itself I m feel all a bit hummpffff today you know so much to do so little time and its all go to be over in a flash;joy,Happy
I know that in the feeling lonely isolate teary state I have many that stand with me;sadness,Sad
I be really thankful to she to get this opportunity and feel very honoured today;joy,Happy
I might not feel so cool;joy,Happy
I m feel extraordinarily daze and bewilder this arvo for no particular reason and my muscle all hurt even though I do not actually have any;surprise,Neutral
I feel I should ve enjoy this trip as I always very eager to see aussy but I can not feel such feeling as mom be not among we any longer;joy,Happy
I feel assure thankk god;joy,Happy
I be feel a little adventurous so I will try to see if we can spook our pretty lady;joy,Happy
I feel in my heart and definately in my idiotic mind;sadness,Sad
I have to move room and I just feel absolutely exhausted;sadness,Sad
I feel so horrible that you have to go through all that just because you grow up a little early than your friends;sadness,Sad
I feel somewhat relieved but disappoint that of the two qualified venue I have question neither bother to make the observation we did;joy,Happy
I feel many petty people have judge I simply because I may be one;anger,Neutral
I be happy to see that he be off with hopefully a good job but I can t help feel a little greedy;anger,Happy
I m not feel very loyal toward them;love,Neutral
I m feel pretty hopeful about the future of the public service;joy,Happy
I just feel shy because I be just a sharia stream student who be now still struggle with european union policy and decision make thesis while those uncle there discuss trillion dollar project in government lead company glc;fear,Neutral
I be attract to the feeling of be admire be an object of desire and refuse to give in;joy,Happy
when I win an unexpected sum of money;joy,Happy
I feel like special honor guests;joy,Happy
I don t even feel particularly loyal to shell;love,Neutral
I feel deeply disappointed;sadness,Sad
I feel a bit jaded and weary of the world;sadness,Sad
I know that I will find a job and god have a plan but I m feel a little uncertain about everything at the moment;fear,Neutral
I dunno I feel like I ve be on opiate forever I do not even remember my carefree life before r or even with she as an infant when I do not use anything its summer again which mean I m almost one year on this merry go round of addiction;joy,Happy
I sit on a windy beach feeling thoroughly annoyed I vow i d be back and I would climb scafell;anger,Neutral
I try to always be hopeful and that help keep I feel ok;joy,Happy
I guess I should feel appreciative of that;joy,Happy
I leave malaysia feeling pleased that I d finish my first full race and excited about what we achieve on sunday at sepang;joy,Happy
I love how I can feel totally distressed and hopeless but when I put on a bright eye record or something all of a sudden I have this realization that there be more to life than the shit I worry about;fear,Neutral
I m already behold myself not to be indulge into high intensity of feel homesick but I think I just did;sadness,Sad
I get the feeling he s pretty proud of his work;joy,Happy
I m a marketer and I could not be bother to investigate far which make I feel that consumer probably can not be bother either;anger,Neutral
I take a mini break from post pic as I just have not be feel inspired lately;joy,Happy
I feel myself getting piss off at the tiny thing all the time;anger,Neutral
I m not sure if anyone else be like this but especially when I m feel low I do not particularly want to wear vintage clothing;sadness,Happy
I and fan cheer for penn state make I feel such a strong sense of belong to the penn state family;joy,Happy
I be sit here take it all in and feel blessed;love,Neutral
I feel lot more energy I feel very impatient and irritable;anger,Neutral
I m not really a fan of seafood and all that so I feel quite sorry when people kill live clam and prawn and shark fins;sadness,Sad
I do feel that the ending be a bit rushed and I do wonder if I might have miss certain sign but its a small thing when the story happen to be addictive and you do not notice the time pass by;anger,Neutral
I feel like I miss my calling i d be a damn good special ed teacher;sadness,Happy
I be strong because I be weak know this about yourself would surely improve yourself as a person its something I d like to know about myself and everyone else and feel it would be worthwhile in pursuing;joy,Happy
I can feel your heartbeat with each desire longing to be core to core center and totally together;love,Neutral
I also like to try to answer the tough question people have so feel free to post some;joy,Happy
I always think of you as such a violent band violently feel violent lyric musically violent;anger,Neutral
I ve definitely have that underwater feel lately so I be relieve to take part in a lenten service at church today one design to clear the head of transitory concerns;joy,Happy
I grab my shoe no sock too lazy and get on the car and the teacher greet omg she be so nice I feel really bad;sadness,Sad
I feel like read anansi boy again its gorgeous;joy,Happy
I m feel paranoid I m well aware of the government tactic and if they put it on the book they want to use it;fear,Neutral
I feel her sweet sound nice melody of the song;joy,Happy
I feel that its very romantic and to add to my visit I have the ipod load up with s dark synthwave amp early s college radio alternative the cure ned atomic dustbin the candy skin posie pixie blur james springhouse morrissey and so on;love,Neutral
I feel absolutely overwhelmed by it;fear,Neutral
I think make the room feel playful and kid friendly;joy,Happy
I have not be at my parent place for a long time when I go to visit they I have high expectations;sadness,Sad
I feel absolutely guilty about this and crazy at the same time I be pregnant and I be suppose to get rounder;sadness,Sad
I have to outweigh the feeling of discontent when I finally get in my bed at night;sadness,Sad
I notice myself worry about he I push that feel away and replace the thought with something positive or remind myself to let go its out of my control;joy,Happy
I would feel drain after my workout but that to be expect after any workout at least in my experience;sadness,Sad
I feel sympathetic towards company that have do business for a century or two suddenly face an entirely different situation;love,Neutral
I do feel very very heartbroken that I do not enter semipro;sadness,Sad
I have really come up against some intense struggle since move in here and I have to say I be very proud at the way we be give each other the respect to feel however we need to feel mad stress whatever and yet we still pull together to fix the issue;anger,Neutral
I do not want to sound cocky or full of myself but alhamdulillah so far I do not feel troubled by breastfeed even after I start working;sadness,Sad
I find myself buy into and react to the conflict of modern life more than I do before and feel more jaded;sadness,Sad
I feel a craving I get excited and sometimes it feel like it s the only thing that can make I feel better;joy,Happy
I feel abit hopeless at times man darn itttt;sadness,Sad
I be still feel weird about the day before;fear,Neutral
I feel like a mouse among man perpetually terrified;fear,Neutral
I feel quite devastate when I have to rush away sometimes;sadness,Sad
I suddenly feel the desire to press my face against the window and silently scream like a doomed urbanite in one of the myriad of disaster movie that always take place in new york;sadness,Sad
I feel humiliate when mistress watch I mince into bed wear my frilly pink bloomer and pink babydoll;sadness,Sad
I m remind myself to feel calm;joy,Happy
I honestly don t think it s possible for I to feel romantic love at this point;love,Neutral
I know I m quite selfish but sometimes I feel like I do not want to throw everything just for something that be uncertain;fear,Neutral
I usually feel gloomy for the loss of money and because I will not use it anyway;sadness,Sad
I feel like I m take up some more needy person place in the er;sadness,Sad
I feel frustrated irritable even;anger,Neutral
I m feel funny a href http;surprise,Neutral
I find it hard to feel for any of the support cast who eventually become late night snack for the vampires;love,Neutral
I feel like I m accomplish something and when I feel passionate about life;joy,Happy
I do sometimes feel like I m in this strange in between world;fear,Neutral
I finally feel like I m get treatment for my injury and that I m not be punish for having be injure during an assault;sadness,Sad
I didn t see how my go in the army and maybe go to vietnam would achieve anything except a feeling that I have punish myself and get what I deserved;sadness,Sad
I think it might and it make my hair feel lovely and silky;love,Neutral
I feel disgusted at he and at myself for having be with he and continue to be something he want in his life;anger,Neutral
I feel though its pretty dangerous to to apply one strategy to match;anger,Neutral
I feel reassure that they call say mayor byron brown;joy,Happy
I feel very lucky to live in a warm home with the three people I love most;joy,Happy
I achieve a specific athletic goal in what I feel be pretty fine form;joy,Happy
I be feel listless without direction;sadness,Sad
I feel they will develop a friendly connection as time progresses;joy,Happy
I feel have wrong me;anger,Neutral
I feel curious about this one I think I might fall in love by uncle montague tale of terror;surprise,Neutral
I m happy to report that I do not feel that angered urge to smack olivia today the way I ve feel it before;anger,Neutral
I feel thrilled with your presence in your eye I feel the belief in peace in sincerity;joy,Happy
one day;sadness,Sad
I grin and kiss my way down his body the same way he d do to I except with less tooth because I m feel rather mellow and content at the moment;joy,Happy
I do not like expose myself because I end up feel vulnerable;fear,Neutral
I be ready to go if need be and fortunately tim be feel ok and feel well enough to go;joy,Happy
I feel disrespected and insulted;anger,Neutral
I be feel pretty wimpy in it;fear,Neutral
I already feel sympathetic to tatsuma and aoi;love,Neutral
I feel hopeful and excited that this will only get well and more fun as we go;joy,Happy
I feel very agitated just sit here;fear,Neutral
I feel like he s so smart so I can converse many thing with he share everything that I wanna share and ask his opinion about whatever;joy,Happy
I have keep post up sleeping picture when I be feel exhausted like as of right now especially after lunch getting stick in the office in midst of the rain nice air conditioning;sadness,Sad
I feel weird in the company of those who approve and disapprove of dot com marriages;surprise,Neutral
I feel fuck church of fuck luminary swinelord be back with a deluxe r;anger,Neutral
I m a creature of habit and major life change always leave I feel sort of daze confused and occasionally sad and grumpy;surprise,Neutral
I be able to write a full letter in insular minuscule and I will probably never have the skill of xviith century write master such as maria strick or jan van den velde but I feel that learn a craft be a worthwhile effort in and for itself;joy,Happy
I be feel fine today and feel fine yesterday;joy,Happy
I feel pretty blank right now and that s good;sadness,Sad
I note that the instruction suggest you d need people so I be feel pretty smug that I d manage it alone;joy,Happy
I get the feeling people think I m very whiney which I know I am;sadness,Sad
I be ready to cry because I feel such a sweet presence of the ruach hakodesh the holy spirit in my room with I right now;joy,Happy
I bet almost each of we though once in their life ever have this kind of feeling call jealous;anger,Neutral
I have write I feel suddenly hesitant to post it;fear,Neutral
I don t feel cute like at all;joy,Happy
I just focus on my sermon itself and think about all of the research and writing and practice that lie ahead of I I feel burdened;sadness,Happy
I d tell he that I feel that to cede control of our life be the only way to prevent doomnation extremely clever play on damnation I know;joy,Happy
I feel it be perfect as a jump off point for what be to come;joy,Happy
I ve have so much more energy no more slug around feel lethargic after massive takeaway and choccy binge and my skin start to clear up instantly;sadness,Sad
I feel playful today a href http www;joy,Happy
I know that this pair of sock take about two month to make but I feel that be because yours truly be truly distract by the string as I like to call it;anger,Happy
I suppose I be mope in my own misery feel extremely agitated by a lot of people;fear,Neutral
I be feel very anxious about go to therapy w;fear,Neutral
I can t help but feel a bit miserable;sadness,Sad
I be still look out for good cause that I feel passionate about to volunteer and again last year when a friend introduce I to an organization that pack food ration for needy families;love,Happy
I m feel particularly sentimental or what have you I go into a bookstore where my book be sell and I pace out the distance between where my book be display and where his be on the shelf;sadness,Happy
I feel like I miss the singular flight that they take to get to z;sadness,Sad
I have not be feel incredibly passionate about medicine recently in fact I have not be feel particularly passionate about anything;love,Neutral
I can really truly only say that I feel that I be passionate about teaching;joy,Happy
I feel privileged to have narrate erik prince autobiography civilian warrior the inside story of blackwater and the unsung hero of the war on terror which will be release this monday nov th;joy,Happy
I feel really disgusted with myself more than the pain and agony;anger,Neutral
I be expect to be monogamous which to I feel like I be be faithful to someone who be with someone else;love,Neutral
I be feel very anxious and frustrated right now;fear,Neutral
I have be use deborah lippmann hard rock as a base for a couple week and it seem to prevent stain exceedingly well so I ws feel brave enough to try this modify french tip two coat of a peachy pink jelly sation love at first byte then a random black with a dotting tool for spots;joy,Happy
I feel this way I withdraw become irritable;anger,Neutral
I want to hold this feeling of shocked awe and wonder forever;surprise,Neutral
I feel deeply disturbed that another mother would condemn I and other mother like I for find fulfillment in be a mother;sadness,Sad
for the loss of a close friend or relative;sadness,Sad
I feel like I m crave it and then no matter what I order I just really be not that impressed;surprise,Neutral
I feel very reluctant talk about death;fear,Neutral
I feel like a lame wife;sadness,Sad
I never feel triumphant and glowy on my treadmill;joy,Happy
I feel blessed that I be there at the right time in the right place to see they and to feel a part of something that I hope will give the people of kuwait hope for progress;love,Happy
I actually think I would feel bothered be their since ehb and the other woman ow spend quite a bit of time together there but I do not feel much of anything;anger,Neutral
I look forward to when I be feel well and can write more often;joy,Happy
I feel a bit less burden with thing hang over my head;sadness,Sad
I will say that I be satisfied with my draw and feel that it be a perfect fit;joy,Happy
I feel assaulted when I hear the radio ad;fear,Neutral
I feel when the super exciting sensory bombardment be over;joy,Happy
I use a small p size amount or p if I m feel generous and massage the milk into my skin in little section and if I feel an area need more then I can apply more;love,Happy
I do not feel like an intruder or at least as an unwelcome one;sadness,Sad
I be go through my year worth of photo and I feel so pleased that I have come this far;joy,Happy
I feel welcome by my confidence that I belong here;joy,Happy
I feel delighted to contact you;joy,Happy
I guess that s why I buy some black nail varnish cos I be feel rebellious;anger,Neutral
I actually find myself resent the song for make I feel which be weird for I because I use to play guitar and sing in church like all the time and music be a huge part of my life in college and high school;surprise,Neutral
I feel that the music be kinda boring;sadness,Sad
I want to be recless but I m feel so uptight put your mamma in a headlock baby and do it right whooooo get the crack whooooooooo get the crack whooooo s get the crack who s get the craaaaaaack;fear,Neutral
I pull myself off the blanket and bed be really feel rather gloomy;sadness,Sad
I only need to feel respected and safe;joy,Happy
I also hate feeling aggravate when I do not know how I be suppose to eat because when I feel that way I often sound that way;anger,Neutral
when I get my bsc degree with first class;joy,Happy
I wake up twa be accord to the clock on my bedside table with my heart racing and I be feel very very hot;love,Neutral
I know it be so disgusting horrifying I feel so dirty;sadness,Sad
I feel like valentine day should about confess romantic love say jin hee oh an office worker shop at lotte department store;love,Neutral
I feel a little like tom daley who be rightly ecstatic with his bronze medal I also feel that those delightful lady from the wi really need to fuck lighten up a bit;joy,Happy
a boyfriend with whom I split up with come over to a friend house where I be visit with a male friend in a confrontation in another room he try to find out if I be arouse by my friend by feel my parts;anger,Neutral
I m really excited for her birthday but feel super nostalgic about it;joy,Happy
I feel I be more of innocent and easily get emotional to silly things;joy,Happy
I be feel terrible;sadness,Sad
I feel so stress out with family problems;sadness,Sad
I work think that it be a good reason to either feel pity for I disgusted at I or more rarely intrigue by I and that be a class of people I didn t care to talk to;anger,Neutral
I m go to sleep now while I still feel triumphant;joy,Happy
I be not go to do a what I m love wednesday post because I be not feel like I be love anything but as my young sister text I last night sometimes happiness be a choice so here it is;love,Neutral
I feel about mcraven at ut not sure div class g plusone datum size medium datum href http wilcfry;joy,Happy
I m not feel very glamorous at the moment to sat the least;joy,Happy
I find myself feel shamefully skeptical of the wisdom of popular guru especially when it come to persuasively explain seriously complex phenomenon even when its offer to standing ovation come from cheer audiences;fear,Neutral
I feel lucky to the point of feel guilty about having get away without more serious damage and disability;joy,Happy
I love it do not get I wrong I just do not want to keep feel lame whilst I learn;sadness,Sad
I be read the melee dps rant below just now and it bring to my attention the reason I ve be feel fairly dissatisfied in raid recently;anger,Neutral
I think sometimes feeling of obligation duty and expectation get in the way of trust our intuition to guide we in the actual right direction;joy,Happy
I feel that he be sincere in his feeling for I and I know that I care for he very much but be that enough this time around I do not know;joy,Happy
I be feel super excited as the week seem to be fly by and we be get close and close to our due date;joy,Happy
I for thanksgive complete with lb suspiciously moist turkey and traditional stuffing and with the final death of thanksgive I can look around and go ahhh and start enjoy the holiday rather than feel assault by them;sadness,Happy
I even have a deep feeling for alaska and the cold and snowy and yet big open land with the pine tree and mountain but I m destine to live in southern california;anger,Neutral
I choose innocent world alphabet rise jsk for its long length long length on lolita dress always feel more casual and innocent to I than knee length style and it remind I of jane austen;joy,Happy
I would not hurt you or make you feel pain I would not have be so vain;sadness,Sad
I don t want to mention the afternoon because I be a highly conscientious person who would hate like to make you feel that unsuccessful;sadness,Sad
I really feel this way there be not a single day that have go by that I ve feel insecure with jerome;fear,Neutral
I be feel uncertain and insecure and fearful;fear,Neutral
I m take advantage of feel artistic incase it run away again bell have her baby the other day yay;joy,Happy
I would not be brag about what amount to a b but I feel very triumphant about it because I have such a struggle in algebra before and would have be thrill to get a b then;joy,Happy
I certainly feel loved and appreciated and grateful for all that I have;love,Happy
I m not feel piss off about pick up those toys;anger,Neutral
I feel so disturbed I have be have difficulty sleeping;sadness,Sad
I hope that you enjoy view and feel free to leave a comment;joy,Happy
I be feel determined to finish that bedroom;joy,Happy
I seriouly feel I be not be respect I do not have my privacy I be be order around;joy,Happy
I feel so strange sitting here blogge away amp not have to study;fear,Neutral
I can not stop feel delighted with myself;joy,Happy
I feel resentful ungrateful negative fearful I feel I navigate through my day as a dead weight that just float around do thing but I be not engaged;anger,Neutral
I feel this way about all relationship romantic platonic and friend zone friend that dissolve;love,Neutral
I go mile and it be not that I feel tired but I notice that my bottom part or the front of my pelvic bone be feel numb and sore;sadness,Sad
I be this evening having have a brilliant night fantastic run and feel jolly darn good;joy,Happy
I think I be do what be good for my child but my pediatrician make I feel like a neglectful mom;sadness,Sad
I feel fearful about be vulnerable within a relationship I will see in other that they be not trustworthy and will in turn not trust them;fear,Neutral
I fight for he when I feel it be just he say and alexander s gaze seem to turn curious;surprise,Neutral
I feel good about the project;joy,Happy
I miss the feeling of loving;love,Neutral
I be feel overwhelmed by god s grace;fear,Neutral
I be feel a little reject by my sister;sadness,Sad
I m stupid and make I feel like I m worthless;sadness,Sad
I feel a bit bad about kill but it always feel like a chore that simply distract from exploration;anger,Neutral
I almost feel greedy with my rd child when so many people I know be work so hard for or;anger,Neutral
I think it be easy to feel afraid when one consider the nuclear weapon the weather the protest the riot the police reaction the government response or the law be passed;fear,Neutral
I don t want you to feel left out o faithful reader I love you too;love,Neutral
I feel about color shade need to match exactly so I be very thankful for all the time she put into make everything exactly to my liking;joy,Happy
I feel terribly neglectful of my blog;sadness,Sad
I feel like there be a couple of castanet song I really like over the last five or eight year but I feel like ray raposa just get lose in that wave of freak folk that roll in and crest in like and then get wash back out to sea;love,Neutral
I feel some sort of disdain that I m ashamed to even verbalize and yet I can not bring myself to deny or convince myself otherwise;sadness,Sad
I seem down its probably because I feel a bit defeated;sadness,Sad
I feel privileged to have the earthly father that I have but a far great privilege be god willingness to be my father;joy,Happy
I also feel so awful feel this way;sadness,Sad
I wear makeup not only to reflect how beautiful I truly feel on in the inside but also to break the stereotype of the nerdy timid out of the loop woman in the sciences;fear,Happy
I feel overly burden by even the small responsibility so the large responsibility that I have recently agree to are burrow their way into my brain and tickle my subconscious at all hours;sadness,Sad
I ve be cough for the past few day now and my stomach muscle be definitely feel rather tender the sore throat be a new development as be the runny nose;love,Neutral
I could have check it down to the back and I feel like I get greedy and take a shot at the endzone and didn t throw the right ball I want to throw and then it get pick off;anger,Neutral
I believe in you moment we all feel til then it s one more skeptical song;fear,Neutral
I m sink back into feeling reject and also wonder what I could have do differently;sadness,Sad
I think I be addict to feel miserable and inadequate especially through the time in college when my teacher drive I to my own break point;sadness,Sad
I be feel absolutely ecstatic this morning;joy,Happy
I be also able to say no comfortably when people ask I if I feel as if my sexuality be be repressed;sadness,Sad
I have these bunch of friend I m grateful to have the squad mate and the teammate but there s another bunch of people out there that make I feel so worthless because everything I try to do with they it seem so force conversation it seem like I be force my word on they and everything else;sadness,Neutral
I post this lovely picture on instagram and be feel slightly rebellious walking on that plane feeling;anger,Neutral
I have forgive anyone who I feel have hurt me;sadness,Sad
I have try different way for people to notice I but I feel fake do they because none of it be myself;sadness,Sad
I feel that the moment you adopt a sense of care for other it bring you inner strength;love,Neutral
I feel quite naughty but the;love,Neutral
I feel really pathetic confront with some;sadness,Sad
I could not get to sleep I be feel quite irritable and restless and every time I be drop off to sleep a mosquito would land on my face or squeal around my ear;anger,Neutral
I feel really lucky for everything I have this year a job a roof over my head heat and the ability to give my kid a fun christmas and if I have a little left over I want to pass if forward as the saying go there but for the grace of god I go;joy,Happy
I decide to rewrite the fic I be writte know as the return as I feel the writting be match for how talented the writter of fan fic be yes I mean you heartdesire and mentel x core;joy,Happy
I feel so enraged that I want to punch he but I don t because he s only year old;anger,Neutral
I feel the need to turn to my beloved nations;joy,Happy
I feel suspicious when I see this redundant use of the credential;fear,Neutral
I m definately feel the change but I m refuse to feel impatient about it;anger,Neutral
I feel like we ve be doom from the start and yet be still together two year later;sadness,Sad
I remember feel more amused than sense that I be in any real danger however I must have be experience a little bit of shock;joy,Happy
I feel like I just can not be bothered;anger,Neutral
I feel I owe my adore fan a lj entry every once and a while;love,Happy
I feel uncomfortable depend on my partner to meet my needs;fear,Neutral
I also feel that see how the body react be an important step into change the behavior;joy,Happy
I do not feel as isolated from the world as I do during last year holidays;sadness,Sad
I feel could have be leave out entirely they smack a bit of empty promotion and self congratulation but once one find the real meat of the information its precious information indeed;sadness,Happy
I just want to show they that I can take care of myself and I feel wrong by stay with them;anger,Neutral
I strop about for a bit feeling grumpy because I be miss out;anger,Neutral
I think the main benefit here be that it wet the surface give even the early stroke something to play against and it also help get my ass into the deep end of the pool if I be feel hesitant about where to begin;fear,Neutral
I feel so stupid because the first week of it fair be not even worth work for;sadness,Sad
I feel very envious;anger,Neutral
I feel like this because I start be naughty in order to validate my existance;love,Neutral
I feel that wanatribe may become a vital link in my writing network;joy,Happy
I have be feel pleased with myself for be really healthy this pregnancy;joy,Happy
I feel fucked;ang,Neutral
I put my leg around yours and wrap my arm under your for I to feel safe again;joy,Happy
I have face be loneliness anxiety and feel homesick compare each penny spend here and convert same in indian currency feel like I have spend a lot get nervous in early day of new responsibility and last but not the least uk weather;sadness,Sad
I mane be feel generous and release his new lp diary of a trap god for free;joy,Happy
I be actually happy to hear this because I d be feel unnaturally exhausted lately so hopefully this will help;sadness,Happy
I feel for love you;love,Neutral
I feel pathetic even read this and thought like wow I be such a loser shuffle across my mind;sadness,Sad
I feel pressured to talk to them;fear,Neutral
I feel that this community s most beloved live our life gold or silver nest as their grass nest long time ago our house be divide now call the commercial housing;love,Happy
I feel that it be vital that the artist have a passion for what he she does;joy,Happy
I ve be quite confident in what I believe for my whole life this occasionally over whelm feeling of uncertainty have truly shake I to my core;fear,Happy
I feel like a deprived kid;sadness,Sad
I feel useless because I do not bring in any income;sadness,Sad
I be feel overwhelmed;fear,Neutral
I m particularly feel pressured to act and behave in way that be culturally accept and expect of me;fear,Neutral
I be very stubborn but I feel like if I be go to be stubborn it should be in a manner that be go to help me;anger,Neutral
I remember last summer feel so overwhelmed;surprise,Neutral
I believe just imagine what it would be like to act live in front of an audience will make I feel joyful;joy,Happy
I feel this product deserve a positive review I do want to leave you with a somewhat contradictory final thought;joy,Happy
I m feel paranoid already;fear,Neutral
I feel empower tell he how it have affect I how I have come close to suicide because of the severe distress it have cause I to continue to feel long after the unpleasant encounter where what I feel be disregarded completely;sadness,Sad
I feel content send packet after packet out into the world;joy,Happy
I actually feel hopeful today;joy,Happy
I be feel and the ibs symptom that have resolved;joy,Happy
I say that feeling do not dull selectively;sadness,Sad
I feel angry or resentful all I need do be remind myself that each day sober have be make possible by a fellowship which support I all the way;anger,Neutral
I know many young woman sometimes feel like their career be much more important than a family but I would like to share with they the fact that they have a biological clock and at a certain time they may wish to have child but can t yet a man can still have children;joy,Happy
I have that overwhelming feeling of not be good enough recently;joy,Happy
I ve be more vocal about how I feel what I think and be convinced that I will not let anyone walk all over I or let my opinion not matter;joy,Happy
I start back at work I have to admit that I ve be feel a little overwhelmed;surprise,Neutral
I feel even more alone although I have him;sadness,Sad
I still feel pretty gloomy;sadness,Sad
I stray I feel the pain of loneliness and discontent;sadness,Sad
I like do leave I feel inadaquate under value and under appreciated;joy,Happy
I have be feel lousy but feel a little more normal bring so many small thing into focus and everything seem wonderful;sadness,Happy
I feel like I have reach a plateau where I m not buy as much as I use to and feel more satisfied with my wardrobe and personal style;joy,Happy
I begin to feel less anxious;fear,Neutral
I feel grouchy or short temper then the guilt kick in;anger,Neutral
I myself smile through love simple dialog child logic explain situation feeling it s funny;surprise,Neutral
I male be stupid first for woman cry baby and should get over it and you feel really cool for put the stupid man in their place;joy,Happy
I feel so disheartened that I feel nauseous and sick;sadness,Sad
I wake up ill feel really really mad;ang,Neutral
I begin to feel isolated;sadness,Sad
I m feel playful google doodle of pac man game;joy,Happy
I feel a recipe be only a theme which an intelligent cook can play each time with a variation;joy,Happy
I do restart my gallery but only because I be feel very vain and gorgeous at the time;sadness,Happy
I feel reject like my peer do not really understand I and as a result argument ensue;sadness,Sad
I just feel pathetic holding on when there s obviously nothing for I to hold on to;sadness,Sad
I be feel quite stress wonder if he would be able to look after bb during my run and if not what be I go to do;sadness,Happy
I can not blog if I m feeling inspire and once I do blog I lose inspiration;joy,Happy
I feel very honoured to be a part of her blogger collaboration series on what s in my handbag;joy,Happy
I feel that something wonderful be go to happen;joy,Happy
I feel the less successful piece be my two front cover as the image I use here be take from movie stills;joy,Happy
I feel like I instantly become an addison reed super collector hour ago;joy,Happy
I m feel a bit distressed about it;fear,Neutral
